Puerto Rico,PRI,3193694
"Korea, Dem. People's Rep.",PRK,25666158
Portugal,PRT,10286263
Paraguay,PRY,7044639
West Bank and Gaza,PSE,4685306
Pacific island small states,PSS,2491878
Post-demographic dividend,PST,1113142897
French Polynesia,PYF,279285
Qatar,QAT,2832071
Romania,ROU,19371648
Russian Federation,RUS,144406261
Rwanda,RWA,12626938
South Asia,SAS,1835776769
Saudi Arabia,SAU,34268529
Sudan,SDN,42813237
Senegal,SEN,16296362
Singapore,SGP,5703569
Solomon Islands,SLB,669821
Sierra Leone,SLE,7813207
El Salvador,SLV,6453550
San Marino,SMR,33864
Somalia,SOM,15442906
Serbia,SRB,6945235
Sub-Saharan Africa (excluding high income),SSA,1106860245
South Sudan,SSD,11062114
Sub-Saharan Africa,SSF,1106957870
Small states,SST,41254483
Sao Tome and Principe,STP,215048
Suriname,SUR,581363
Slovak Republic,SVK,5454147
Slovenia,SVN,2088385
Sweden,SWE,10278887
Eswatini,SWZ,1148133
Sint Maarten (Dutch part),SXM,41608
Seychelles,SYC,97625
Syrian Arab Republic,SYR,17070132
Turks and Caicos Islands,TCA,38194
Chad,TCD,15946882
East Asia & Pacific (IDA & IBRD countries),TEA,2078012370
Europe & Central Asia (IDA & IBRD countries),TEC,460788476
Togo,TGO,8082359
Thailand,THA,69625581
Tajikistan,TJK,9321023
Turkmenistan,TKM,5942094
Latin America & the Caribbean (IDA & IBRD countries),TLA,630644771
Timor-Leste,TLS,1293120
Middle East & North Africa (IDA & IBRD countries),TMN,384771769
Tonga,TON,104497
South Asia (IDA & IBRD),TSA,1835776769
Sub-Saharan Africa (IDA & IBRD countries),TSS,1106957870
Trinidad and Tobago,TTO,1394969
Tunisia,TUN,11694721
Turkiye,TUR,83429607
Tuvalu,TUV,11655
Tanzania,TZA,58005461
Uganda,UGA,44269587
Ukraine,UKR,44386203
Upper middle income,UMC,2480707519
Uruguay,URY,3461731
United States,USA,328329953
Uzbekistan,UZB,33580350
St. Vincent and the Grenadines,VCT,110593
"Venezuela, RB",VEN,28515829
British Virgin Islands,VGB,30033
Virgin Islands (U.S.),VIR,106669
Vietnam,VNM,96462108
Vanuatu,VUT,299882
World,WLD,7683806444
Samoa,WSM,197093
Kosovo,XKX,1788878
"Yemen, Rep.",YEM,29161922
South Africa,ZAF,58558267
Zambia,ZMB,17861034
Zimbabwe,ZWE,14645473
